#MJD,flux_lag_1,flux_lag_2,flux_lag_3,flux_rolling_mean_3,flux_rolling_std_3,index_lag_1,index_lag_2,index_lag_3,index_rolling_mean_3,index_rolling_std_3
59656.4999537037,6.99e-08,6.31e-08,6.16e-08,0.0,0.0,2.06,2.5,2.16,2.28,0.22
59663.4999537037,1.43e-07,6.99e-08,6.31e-08,0.0,0.0,2.28,2.06,2.5,2.26,0.2
59670.4999537037,1.63e-07,1.43e-07,6.99e-08,0.0,0.0,2.45,2.28,2.06,2.44,0.16
59684.4999537037,1.35e-07,1.63e-07,1.43e-07,0.0,0.0,2.59,2.45,2.28,2.41,0.21
59740.4999537037,1.54e-07,1.35e-07,1.63e-07,0.0,0.0,2.18,2.59,2.45,2.31,0.24
59754.4999537037,1.24e-07,1.54e-07,1.35e-07,0.0,0.0,2.16,2.18,2.59,3.11,1.63
59775.4999537037,7.74e-08,1.24e-07,1.54e-07,0.0,0.0,5.0,2.16,2.18,3.32,1.49
59782.4999537037,8.81e-08,7.74e-08,1.24e-07,0.0,0.0,2.81,5.0,2.16,3.2,1.64
59803.4999537037,5.66e-08,8.81e-08,7.74e-08,0.0,0.0,1.78,2.81,5.0,2.22,0.53
59824.4999537037,6.54e-08,5.66e-08,8.81e-08,0.0,0.0,2.08,1.78,2.81,2.01,0.2
59838.4999537037,7.38e-08,6.54e-08,5.66e-08,0.0,0.0,2.17,2.08,1.78,2.11,0.06
59845.4999537037,1.41e-07,7.38e-08,6.54e-08,0.0,0.0,2.07,2.17,2.08,2.32,0.36
59880.4999537037,1.19e-07,1.41e-07,7.38e-08,0.0,0.0,2.73,2.07,2.17,2.49,0.36
